for NO_TESTS is 0 cond_prob_loop is 0 actual oracle response for each test:
actual_loop_count:1, actual_oracle_response:0 0 
actual_loop_count:554, actual_oracle_response:0 -1 0 
actual_loop_count:555, actual_oracle_response:0 -1 0 
actual_loop_count:556, actual_oracle_response:-1 0 
actual_loop_count:557, actual_oracle_response:-1 -1 
actual_loop_count:558, actual_oracle_response:-1 -1 
actual_loop_count:559, actual_oracle_response:-1 -1 
actual_loop_count:560, actual_oracle_response:-1 -1 
actual_loop_count:561, actual_oracle_response:0 0 
actual_loop_count:562, actual_oracle_response:0 -1 -1 
actual_loop_count:563, actual_oracle_response:0 -1 0 
actual_loop_count:564, actual_oracle_response:0 0 
actual_loop_count:565, actual_oracle_response:0 0 
actual_loop_count:566, actual_oracle_response:0 0 
actual_loop_count:567, actual_oracle_response:0 0 
actual_loop_count:568, actual_oracle_response:0 0 
actual_loop_count:569, actual_oracle_response:0 0 
actual_loop_count:570, actual_oracle_response:-1 0 
actual_loop_count:571, actual_oracle_response:-1 0 
actual_loop_count:572, actual_oracle_response:0 0 
actual_loop_count:573, actual_oracle_response:0 0 
actual_loop_count:574, actual_oracle_response:0 0 
actual_loop_count:575, actual_oracle_response:0 -1 0 
actual_loop_count:576, actual_oracle_response:0 0 
actual_loop_count:577, actual_oracle_response:-1 0 
actual_loop_count:578, actual_oracle_response:0 -1 0 
actual_loop_count:579, actual_oracle_response:0 -1 0 
actual_loop_count:580, actual_oracle_response:0 0 
actual_loop_count:581, actual_oracle_response:0 0 
actual_loop_count:582, actual_oracle_response:0 0 
actual_loop_count:583, actual_oracle_response:0 -1 0 
actual_loop_count:584, actual_oracle_response:0 -1 0 
actual_loop_count:585, actual_oracle_response:0 -1 0 
actual_loop_count:586, actual_oracle_response:0 0 
actual_loop_count:587, actual_oracle_response:-1 0 
actual_loop_count:588, actual_oracle_response:0 0 
actual_loop_count:589, actual_oracle_response:0 0 
actual_loop_count:590, actual_oracle_response:0 -1 0 
actual_loop_count:591, actual_oracle_response:0 -1 0 
actual_loop_count:592, actual_oracle_response:-1 0 
actual_loop_count:593, actual_oracle_response:-1 0 
actual_loop_count:594, actual_oracle_response:0 0 
actual_loop_count:595, actual_oracle_response:0 -1 0 
actual_loop_count:596, actual_oracle_response:0 0 
actual_loop_count:597, actual_oracle_response:-1 0 
actual_loop_count:598, actual_oracle_response:0 0 
actual_loop_count:599, actual_oracle_response:0 -1 0 
actual_loop_count:600, actual_oracle_response:0 -1 -1 
actual_loop_count:601, actual_oracle_response:0 0 
actual_loop_count:602, actual_oracle_response:-1 0 
actual_loop_count:603, actual_oracle_response:0 0 
actual_loop_count:604, actual_oracle_response:0 0 
actual_loop_count:605, actual_oracle_response:0 0 
actual_loop_count:606, actual_oracle_response:0 -1 0 
actual_loop_count:607, actual_oracle_response:0 -1 0 
actual_loop_count:608, actual_oracle_response:0 -1 0 
actual_loop_count:609, actual_oracle_response:0 -1 0 
actual_loop_count:610, actual_oracle_response:0 0 
actual_loop_count:611, actual_oracle_response:0 0 
actual_loop_count:612, actual_oracle_response:0 0 
actual_loop_count:613, actual_oracle_response:0 0 
actual_loop_count:614, actual_oracle_response:0 -1 0 
actual_loop_count:615, actual_oracle_response:0 -1 0 
actual_loop_count:616, actual_oracle_response:0 0 
actual_loop_count:617, actual_oracle_response:-1 0 
actual_loop_count:618, actual_oracle_response:-1 0 
actual_loop_count:619, actual_oracle_response:0 0 
actual_loop_count:620, actual_oracle_response:0 0 
actual_loop_count:621, actual_oracle_response:0 0 
actual_loop_count:622, actual_oracle_response:0 -1 0 
actual_loop_count:623, actual_oracle_response:0 -1 0 
actual_loop_count:624, actual_oracle_response:0 -1 0 
actual_loop_count:625, actual_oracle_response:0 -1 0 
actual_loop_count:626, actual_oracle_response:-1 0 
actual_loop_count:627, actual_oracle_response:-1 0 
actual_loop_count:628, actual_oracle_response:0 0 
actual_loop_count:629, actual_oracle_response:0 0 
actual_loop_count:630, actual_oracle_response:0 0 
actual_loop_count:631, actual_oracle_response:0 0 
actual_loop_count:632, actual_oracle_response:0 -1 0 
actual_loop_count:633, actual_oracle_response:0 -1 0 
actual_loop_count:634, actual_oracle_response:0 -1 0 
actual_loop_count:635, actual_oracle_response:0 -1 -1 
actual_loop_count:636, actual_oracle_response:0 -1 0 
actual_loop_count:637, actual_oracle_response:-1 0 
actual_loop_count:638, actual_oracle_response:-1 -1 
actual_loop_count:639, actual_oracle_response:-1 0 
actual_loop_count:640, actual_oracle_response:0 0 
actual_loop_count:641, actual_oracle_response:0 0 
actual_loop_count:642, actual_oracle_response:0 -1 0 
actual_loop_count:643, actual_oracle_response:0 -1 0 
actual_loop_count:644, actual_oracle_response:0 0 
actual_loop_count:645, actual_oracle_response:-1 0 
actual_loop_count:646, actual_oracle_response:-1 0 
actual_loop_count:647, actual_oracle_response:0 -1 0 
actual_loop_count:648, actual_oracle_response:0 -1 0 
actual_loop_count:649, actual_oracle_response:0 0 
actual_loop_count:650, actual_oracle_response:0 -1 0 
actual_loop_count:651, actual_oracle_response:0 0 
actual_loop_count:652, actual_oracle_response:0 0 
actual_loop_count:653, actual_oracle_response:0 0 
actual_loop_count:654, actual_oracle_response:-1 0 
actual_loop_count:655, actual_oracle_response:0 0 
actual_loop_count:656, actual_oracle_response:0 0 
actual_loop_count:657, actual_oracle_response:0 0 
actual_loop_count:658, actual_oracle_response:0 0 
actual_loop_count:659, actual_oracle_response:0 0 
actual_loop_count:660, actual_oracle_response:0 0 
actual_loop_count:661, actual_oracle_response:0 0 
actual_loop_count:662, actual_oracle_response:-1 0 
actual_loop_count:663, actual_oracle_response:-1 0 
actual_loop_count:664, actual_oracle_response:-1 0 
actual_loop_count:665, actual_oracle_response:-1 -1 
actual_loop_count:666, actual_oracle_response:-1 0 
actual_loop_count:667, actual_oracle_response:0 0 
actual_loop_count:668, actual_oracle_response:-1 0 
actual_loop_count:669, actual_oracle_response:-1 -1 
actual_loop_count:670, actual_oracle_response:-1 0 
actual_loop_count:671, actual_oracle_response:0 0 
actual_loop_count:672, actual_oracle_response:0 0 
actual_loop_count:673, actual_oracle_response:-1 0 
actual_loop_count:674, actual_oracle_response:-1 -1 
actual_loop_count:675, actual_oracle_response:-1 0 
actual_loop_count:676, actual_oracle_response:0 0 
actual_loop_count:677, actual_oracle_response:0 0 
actual_loop_count:678, actual_oracle_response:0 0 
actual_loop_count:679, actual_oracle_response:0 0 
actual_loop_count:680, actual_oracle_response:0 0 
actual_loop_count:681, actual_oracle_response:0 0 
actual_loop_count:682, actual_oracle_response:0 0 
actual_loop_count:683, actual_oracle_response:0 0 
actual_loop_count:684, actual_oracle_response:0 -1 0 
actual_loop_count:685, actual_oracle_response:0 0 
actual_loop_count:686, actual_oracle_response:-1 0 
actual_loop_count:687, actual_oracle_response:0 0 
actual_loop_count:688, actual_oracle_response:0 0 
actual_loop_count:689, actual_oracle_response:0 0 
actual_loop_count:690, actual_oracle_response:-1 0 
actual_loop_count:691, actual_oracle_response:-1 -1 
actual_loop_count:692, actual_oracle_response:-1 0 
actual_loop_count:693, actual_oracle_response:0 0 
actual_loop_count:694, actual_oracle_response:0 0 
actual_loop_count:695, actual_oracle_response:0 0 
actual_loop_count:696, actual_oracle_response:-1 0 
actual_loop_count:697, actual_oracle_response:-1 0 
actual_loop_count:698, actual_oracle_response:0 0 
actual_loop_count:699, actual_oracle_response:0 0 
actual_loop_count:700, actual_oracle_response:0 0 
actual_loop_count:701, actual_oracle_response:0 0 
actual_loop_count:702, actual_oracle_response:-1 0 
actual_loop_count:703, actual_oracle_response:-1 0 
actual_loop_count:704, actual_oracle_response:0 0 
actual_loop_count:705, actual_oracle_response:0 0 
actual_loop_count:706, actual_oracle_response:0 0 
actual_loop_count:707, actual_oracle_response:0 0 
actual_loop_count:708, actual_oracle_response:0 0 
actual_loop_count:709, actual_oracle_response:-1 0 
actual_loop_count:710, actual_oracle_response:-1 -1 
actual_loop_count:711, actual_oracle_response:0 0 
actual_loop_count:712, actual_oracle_response:0 -1 0 
actual_loop_count:713, actual_oracle_response:0 -1 0 
actual_loop_count:714, actual_oracle_response:0 -1 0 
actual_loop_count:715, actual_oracle_response:0 0 
actual_loop_count:716, actual_oracle_response:0 0 
actual_loop_count:717, actual_oracle_response:-1 0 
actual_loop_count:718, actual_oracle_response:-1 0 
actual_loop_count:719, actual_oracle_response:0 0 
actual_loop_count:720, actual_oracle_response:0 0 
actual_loop_count:721, actual_oracle_response:0 0 
actual_loop_count:722, actual_oracle_response:0 0 
actual_loop_count:723, actual_oracle_response:0 0 
actual_loop_count:724, actual_oracle_response:-1 0 
actual_loop_count:725, actual_oracle_response:-1 0 
actual_loop_count:726, actual_oracle_response:0 -1 0 
actual_loop_count:727, actual_oracle_response:0 -1 0 
actual_loop_count:728, actual_oracle_response:0 0 
actual_loop_count:729, actual_oracle_response:0 0 
actual_loop_count:730, actual_oracle_response:0 0 
actual_loop_count:731, actual_oracle_response:0 0 
actual_loop_count:732, actual_oracle_response:0 0 
actual_loop_count:733, actual_oracle_response:0 0 
actual_loop_count:734, actual_oracle_response:0 0 
actual_loop_count:735, actual_oracle_response:0 0 
actual_loop_count:736, actual_oracle_response:0 0 
actual_loop_count:737, actual_oracle_response:-1 0 
actual_loop_count:738, actual_oracle_response:0 0 
actual_loop_count:739, actual_oracle_response:0 0 
actual_loop_count:740, actual_oracle_response:-1 0 
actual_loop_count:741, actual_oracle_response:-1 0 
actual_loop_count:742, actual_oracle_response:0 0 
actual_loop_count:743, actual_oracle_response:0 -1 0 
actual_loop_count:744, actual_oracle_response:0 0 
actual_loop_count:745, actual_oracle_response:0 0 
actual_loop_count:746, actual_oracle_response:0 0 
actual_loop_count:747, actual_oracle_response:-1 0 
actual_loop_count:748, actual_oracle_response:0 0 
actual_loop_count:749, actual_oracle_response:0 -1 0 
actual_loop_count:750, actual_oracle_response:0 0 
actual_loop_count:751, actual_oracle_response:0 0 
actual_loop_count:752, actual_oracle_response:-1 0 
actual_loop_count:753, actual_oracle_response:0 0 
actual_loop_count:754, actual_oracle_response:0 -1 0 
actual_loop_count:755, actual_oracle_response:0 0 
actual_loop_count:756, actual_oracle_response:0 0 
actual_loop_count:757, actual_oracle_response:0 0 
actual_loop_count:758, actual_oracle_response:0 0 
actual_loop_count:759, actual_oracle_response:0 0 
actual_loop_count:760, actual_oracle_response:0 0 
actual_loop_count:761, actual_oracle_response:0 0 
