for NO_TESTS is 0 cond_prob_loop is 0 actual oracle response for each test:
actual_loop_count:196, actual_oracle_response:0 0 
actual_loop_count:197, actual_oracle_response:-1 0 
actual_loop_count:198, actual_oracle_response:0 0 
actual_loop_count:199, actual_oracle_response:0 0 
actual_loop_count:200, actual_oracle_response:0 0 
actual_loop_count:201, actual_oracle_response:0 0 
actual_loop_count:202, actual_oracle_response:0 0 
actual_loop_count:203, actual_oracle_response:-1 -1 
actual_loop_count:204, actual_oracle_response:-1 0 
actual_loop_count:205, actual_oracle_response:-1 0 
actual_loop_count:206, actual_oracle_response:0 0 
actual_loop_count:207, actual_oracle_response:-1 0 
actual_loop_count:208, actual_oracle_response:0 0 
actual_loop_count:209, actual_oracle_response:0 0 
actual_loop_count:210, actual_oracle_response:-1 -1 
actual_loop_count:211, actual_oracle_response:-1 -1 
actual_loop_count:212, actual_oracle_response:-1 -1 
actual_loop_count:213, actual_oracle_response:-1 -1 
actual_loop_count:214, actual_oracle_response:-1 -1 
actual_loop_count:215, actual_oracle_response:-1 -1 
actual_loop_count:216, actual_oracle_response:-1 0 
actual_loop_count:217, actual_oracle_response:-1 0 
actual_loop_count:218, actual_oracle_response:-1 0 
actual_loop_count:219, actual_oracle_response:-1 -1 
actual_loop_count:220, actual_oracle_response:0 -1 0 
actual_loop_count:221, actual_oracle_response:-1 0 
actual_loop_count:222, actual_oracle_response:-1 -1 
actual_loop_count:223, actual_oracle_response:-1 -1 
actual_loop_count:224, actual_oracle_response:0 -1 0 
actual_loop_count:225, actual_oracle_response:0 0 
actual_loop_count:226, actual_oracle_response:0 -1 0 
actual_loop_count:227, actual_oracle_response:-1 -1 
actual_loop_count:228, actual_oracle_response:-1 0 
actual_loop_count:229, actual_oracle_response:-1 0 
actual_loop_count:230, actual_oracle_response:0 -1 0 
actual_loop_count:231, actual_oracle_response:0 -1 -1 
actual_loop_count:232, actual_oracle_response:0 -1 -1 
actual_loop_count:233, actual_oracle_response:-1 0 
actual_loop_count:234, actual_oracle_response:0 0 
actual_loop_count:235, actual_oracle_response:0 -1 0 
actual_loop_count:236, actual_oracle_response:0 0 
actual_loop_count:237, actual_oracle_response:0 0 
actual_loop_count:238, actual_oracle_response:-1 -1 
actual_loop_count:239, actual_oracle_response:-1 0 
actual_loop_count:240, actual_oracle_response:-1 -1 
actual_loop_count:241, actual_oracle_response:0 -1 -1 
actual_loop_count:242, actual_oracle_response:-1 -1 
actual_loop_count:243, actual_oracle_response:-1 0 
actual_loop_count:244, actual_oracle_response:0 0 
actual_loop_count:245, actual_oracle_response:0 0 
actual_loop_count:246, actual_oracle_response:0 -1 0 
actual_loop_count:247, actual_oracle_response:0 -1 0 
actual_loop_count:248, actual_oracle_response:0 0 
actual_loop_count:249, actual_oracle_response:0 0 
actual_loop_count:250, actual_oracle_response:0 -1 0 
actual_loop_count:251, actual_oracle_response:-1 0 
