for NO_TESTS is 0 cond_prob_loop is 0 u_1_u_2 for each test:
List_count:448, [181, 310]
List_count:449, [282, 310]
List_count:450, [3, 311]
List_count:451, [26, 311]
List_count:452, [293, 311]
List_count:453, [4, 312]
List_count:454, [115, 312]
List_count:455, [212, 312]
List_count:456, [74, 313]
List_count:457, [263, 313]
List_count:458, [292, 313]
List_count:459, [69, 314]
List_count:460, [113, 314]
List_count:461, [137, 314]
List_count:462, [282, 314]
List_count:463, [10, 315]
List_count:464, [34, 315]
List_count:465, [146, 315]
List_count:466, [39, 316]
List_count:467, [72, 316]
List_count:468, [196, 316]
List_count:469, [41, 317]
List_count:470, [127, 317]
List_count:471, [309, 317]
List_count:472, [5, 318]
List_count:473, [13, 318]
List_count:474, [228, 318]
List_count:475, [245, 318]
List_count:476, [37, 319]
List_count:477, [59, 319]
List_count:478, [297, 319]
List_count:479, [168, 320]
List_count:480, [96, 321]
List_count:481, [281, 321]
List_count:482, [287, 321]
List_count:483, [298, 321]
List_count:484, [120, 322]
List_count:485, [251, 322]
List_count:486, [74, 323]
List_count:487, [133, 323]
List_count:488, [33, 324]
List_count:489, [127, 324]
List_count:490, [275, 324]
List_count:491, [304, 324]
List_count:492, [89, 325]
List_count:493, [281, 325]
List_count:494, [24, 326]
List_count:495, [201, 327]
List_count:496, [203, 327]
List_count:497, [189, 328]
List_count:498, [81, 329]
List_count:499, [231, 329]
List_count:500, [303, 329]
List_count:501, [10, 330]
List_count:502, [160, 330]
List_count:503, [214, 330]
List_count:504, [1, 331]
List_count:505, [144, 331]
List_count:506, [46, 332]
List_count:507, [150, 332]
List_count:508, [181, 332]
List_count:509, [291, 332]
List_count:510, [322, 332]
List_count:511, [33, 333]
List_count:512, [75, 333]
List_count:513, [197, 334]
List_count:514, [271, 334]
List_count:515, [302, 334]
List_count:516, [201, 335]
List_count:517, [296, 335]
List_count:518, [149, 336]
List_count:519, [264, 336]
List_count:520, [284, 336]
List_count:521, [21, 337]
List_count:522, [288, 337]
List_count:523, [320, 337]
List_count:524, [72, 338]
List_count:525, [126, 338]
List_count:526, [211, 338]
List_count:527, [282, 338]
List_count:528, [40, 339]
List_count:529, [47, 339]
List_count:530, [112, 339]
List_count:531, [287, 339]
List_count:532, [62, 340]
List_count:533, [172, 340]
List_count:534, [190, 340]
List_count:535, [98, 341]
List_count:536, [148, 341]
List_count:537, [38, 342]
List_count:538, [271, 342]
List_count:539, [291, 342]
List_count:540, [41, 343]
List_count:541, [140, 344]
List_count:542, [246, 344]
List_count:543, [114, 345]
List_count:544, [186, 345]
List_count:545, [317, 345]
List_count:546, [337, 345]
List_count:547, [123, 346]
List_count:548, [179, 346]
List_count:549, [230, 346]
List_count:550, [10, 347]
List_count:551, [42, 347]
List_count:552, [316, 347]
List_count:553, [64, 348]
List_count:554, [147, 348]
List_count:555, [91, 349]
List_count:556, [197, 349]
List_count:557, [261, 349]
List_count:558, [314, 349]
List_count:559, [56, 350]
List_count:560, [162, 350]
List_count:561, [170, 350]
List_count:562, [213, 350]
List_count:563, [42, 351]
List_count:564, [100, 351]
List_count:565, [138, 351]
List_count:566, [158, 351]
List_count:567, [209, 351]
List_count:568, [138, 352]
List_count:569, [325, 352]
List_count:570, [21, 353]
List_count:571, [135, 353]
List_count:572, [192, 353]
List_count:573, [313, 353]
List_count:574, [38, 354]
List_count:575, [75, 354]
List_count:576, [161, 354]
List_count:577, [204, 354]
List_count:578, [322, 354]
List_count:579, [15, 355]
List_count:580, [95, 355]
List_count:581, [193, 355]
List_count:582, [296, 355]
List_count:583, [155, 356]
List_count:584, [203, 356]
List_count:585, [325, 356]
List_count:586, [126, 357]
List_count:587, [290, 357]
List_count:588, [327, 357]
List_count:589, [329, 357]
List_count:590, [36, 358]
List_count:591, [185, 358]
List_count:592, [347, 358]
List_count:593, [122, 359]
List_count:594, [160, 359]
List_count:595, [221, 359]
List_count:596, [252, 359]
List_count:597, [19, 360]
List_count:598, [42, 360]
List_count:599, [164, 360]
List_count:600, [308, 360]
List_count:601, [185, 361]
List_count:602, [193, 361]
List_count:603, [238, 361]
List_count:604, [103, 362]
List_count:605, [161, 362]
List_count:606, [305, 362]
List_count:607, [54, 363]
List_count:608, [58, 363]
List_count:609, [277, 363]
List_count:610, [61, 364]
List_count:611, [154, 364]
